BTEXT103,BTEXT180,BTEXT181,BTEXT104,Asterisk,BTEXT105,BTEXT106,BTEXT107,BTEXT108,BTEXT109,BTEXT145,BTEXT110,BTEXT111,BTEXT112,BTEXT113,BTEXT114,BTEXT188,BTEXT115,BTEXT116,BTEXT184,BTEXT117,BTEXT163,BTEXT165,BTEXT118,BTEXT164,BTEXT166,BTEXT120,BTEXT121,BTEXT123,BTEXT126,BTEXT127,BTEXT128,BTEXT129,REPDATE_GROUPING,GROUP1,REPDT_FMT,DT_AVAILABLE_ROOMS,DT_AVAILABLE_ROOMS_STS,DT_OUT_OF_ORDER,DT_OUT_OF_ORDER_STS,DT_ROOMS_SOLD,DT_ROOMS_SOLD_STS,DT_ROOMS_TO_SELL,DT_ROOMS_TO_SELL_STS,DT_OCCUPANCY,DT_ARRIVALS_RMS,DT_ARRIVALS_RMS_STS,DT_ARRIVALS_RMS_NGTD,DT_ARRIVALS_RMS_NGTD_STS,DT_ARRIVALS_RES,DT_STAYOVERS_RMS,DT_STAYOVERS_RMS_STS,DT_DEPARTURES_RMS,DT_DEPARTURES_RMS_STS,DT_DEPARTURES_RES,DT_COMPLIMENTARY_RMS,DT_COMPLIMENTARY_RMS_STS,DT_HOUSEUSE,DT_HOUSEUSE_STS,DT_NOSHOW_RMS,DT_NOSHOW_RMS_STS,DT_DAYUSE_RMS,DT_DAYUSE_RMS_STS,DT_WAITLIST_RMS,DT_WAITLIST_RMS_STS,DT_TRANSIENT_RMS,DT_TRANSIENT_RMS_STS,DT_TRANS_REVENUE,DT_TRANS_ADR,DT_GRP_PICKUP_RMS,DT_GRP_PICKUP_RMS_STS,DT_GRP_REVENUE,DT_GRP_ADR,DT_GRP_REMAINING_RMS,DT_GRP_REMAINING_RMS_STS,DT_CNT_PICKUP_RMS,DT_CNT_PICKUP_RMS_STS,DT_CNT_REMAINING_RMS,DT_CNT_REMAINING_RMS_STS,DT_REVENUE,DT_ADR,DT_RREVPAR,DT_GUESTS,UNITTYPE,BTEXT150,CODE,CODE_DESC,AVAILABLE_ROOMS,OUT_OF_ORDER,ROOMS_SOLD,ROOMS_TO_SELL,OCCUPANCY,ARRIVALS_RMS,ARRIVALS_RMS_NGTD,ARRIVALS_RES,STAYOVERS_RMS,DEPARTURES_RMS,DEPARTURES_RES,COMPLIMENTARY_RMS,HOUSEUSE,NOSHOW_RMS,DAYUSE_RMS,WAITLIST_RMS,TRANSIENT_RMS,TRANS_REVENUE,TRANS_ADR,GRP_PICKUP_RMS,GROUP_REVENUE,GROUP_ADR,GRP_REMAINING_RMS,CNT_PICKUP_RMS,CNT_REMAINING_RMS,REVENUE,ADR,RREVPAR,GUESTS,GRP1_AVAILABLE_ROOMS,GRP1_AVAILABLE_ROOMS_STS,GRP1_OUT_OF_ORDER,GRP1_OUT_OF_ORDER_STS,GRP1_ROOMS_SOLD,GRP1_ROOMS_SOLD_STS,GRP1_ROOMS_TO_SELL,GRP1_ROOMS_TO_SELL_STS,GRP1_OCCUPANCY,GRP1_ARRIVALS_RMS,GRP1_ARRIVALS_RMS_STS,GRP1_ARRIVALS_RMS_NGTD,GRP1_ARRIVALS_RMS_NGTD_STS,GRP1_ARRIVALS_RES,GRP1_STAYOVERS_RMS,GRP1_STAYOVERS_RMS_STS,GRP1_DEPARTURES_RMS,GRP1_DEPARTURES_RMS_STS,GRP1_DEPARTURES_RES,GRP1_COMPLIMENTARY_RMS,GRP1_COMPLIMENTARY_RMS_STS,GRP1_HOUSEUSE,GRP1_HOUSEUSE_STS,GRP1_NOSHOW_RMS,GRP1_NOSHOW_RMS_STS,GRP1_DAYUSE_RMS,GRP1_DAYUSE_RMS_STS,GRP1_WAITLIST_RMS,GRP1_WAITLIST_RMS_STS,GRP1_TRANSIENT_RMS,GRP1_TRANSIENT_RMS_STS,GRP1_TRANS_REVENUE,GRP1_TRANS_ADR,GRP1_GRP_PICKUP_RMS,GRP1_GRP_PICKUP_RMS_STS,GRP1_GRP_REVENUE,GRP1_GRP_ADR,GRP1_GRP_REMAINING_RMS,GRP1_GRP_REMAINING_RMS_STS,GRP1_CNT_PICKUP_RMS,GRP1_CNT_PICKUP_RMS_STS,GRP1_CNT_REMAINING_RMS,GRP1_CNT_REMAINING_RMS_STS,GRP1_REVENUE,GRP1_ADR,GRP1_RREVPAR,GRP1_GUESTS,TOT_AVAILABLE_ROOMS,TOT_AVAILABLE_ROOMS_STS,TOT_OUT_OF_ORDER,TOT_OUT_OF_ORDER_STS,TOT_ROOMS_SOLD,TOT_ROOMS_SOLD_STS,TOT_ROOMS_TO_SELL,TOT_ROOMS_TO_SELL_STS,TOT_OCCUPANCY,TOT_ARRIVALS_RMS,TOT_ARRIVALS_RMS_STS,TOT_ARRIVALS_RMS_NGTD,TOT_ARRIVALS_RMS_NGTD_STS,TOT_ARRIVALS_RES,TOT_STAYOVERS_RMS,TOT_STAYOVERS_RMS_STS,TOT_DEPARTURES_RMS,TOT_DEPARTURES_RMS_STS,TOT_DEPARTURES_RES,TOT_COMPLIMENTARY_RMS,TOT_COMPLIMENTARY_RMS_STS,TOT_HOUSEUSE,TOT_HOUSEUSE_STS,TOT_NOSHOW_RMS,TOT_NOSHOW_RMS_STS,TOT_DAYUSE_RMS,TOT_DAYUSE_RMS_STS,TOT_WAITLIST_RMS,TOT_WAITLIST_RMS_STS,TOT_TRANSIENT_RMS,TOT_TRANSIENT_RMS_STS,TOT_TRANS_REVENUE,TOT_TRANS_ADR,TOT_GRP_PICKUP_RMS,TOT_GRP_PICKUP_RMS_STS,TOT_GRP_REVENUE,TOT_GRP_ADR,TOT_GRP_REMAINING_RMS,TOT_GRP_REMAINING_RMS_STS,TOT_CNT_PICKUP_RMS,TOT_CNT_PICKUP_RMS_STS,TOT_CNT_REMAINING_RMS,TOT_CNT_REMAINING_RMS_STS,TOT_REVENUE,TOT_ADR,TOT_RREVPAR,TOT_GUESTS,PARAMS_FMT
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-05 00:00:00,History,04/05/2023 Wed,150,0,4,0,105,0,41,0,70,73,0,12,0,73,32,0,69,0,68,1,0,0,0,2,0,0,0,0,0,94,0,12619.15,134.246277,11,0,1309,119,0,0,0,0,0,0,13928.15,132.649048,92.854333,167 / 30,ROOM,Suites,***,***,,,105,,70,73,12,73,32,69,68,1,0,2,0,0,94,12619.15,134.246277,11,1309,119,0,0,0,13928.15,132.649048,92.854333,167 / 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-06 00:00:00,History,04/06/2023 Thu,150,0,0,0,144,0,6,0,96,113,0,4,0,113,31,0,74,0,74,3,0,0,0,4,0,0,0,0,0,144,0,22667.09,157.410347,0,0,0,0,0,0,0,0,0,0,22667.09,157.410347,151.113933,240 / 18,ROOM,Suites,***,***,,,144,,96,113,4,113,31,74,74,3,0,4,0,0,144,22667.09,157.410347,0,0,0,0,0,0,22667.09,157.410347,151.113933,240 / 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-07 00:00:00,History,04/07/2023 Fri,150,0,7,0,124,0,19,0,82.666667,71,0,0,0,70,53,0,91,0,91,1,0,0,0,2,0,0,0,0,0,124,0,36072.38,290.90629,0,0,0,0,0,0,0,0,0,0,36072.38,290.90629,240.482533,207 / 15,ROOM,Suites,***,***,,,124,,82.666667,71,0,70,53,91,91,1,0,2,0,0,124,36072.38,290.90629,0,0,0,0,0,0,36072.38,290.90629,240.482533,207 / 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-08 00:00:00,History,04/08/2023 Sat,150,0,2,0,87,0,61,0,58,42,0,0,0,41,45,0,79,0,78,0,0,0,0,2,0,0,0,0,0,87,0,23540.16,270.576552,0,0,0,0,0,0,0,0,0,0,23540.16,270.576552,156.9344,154 / 15,ROOM,Suites,***,***,,,87,,58,42,0,41,45,79,78,0,0,2,0,0,87,23540.16,270.576552,0,0,0,0,0,0,23540.16,270.576552,156.9344,154 / 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-09 00:00:00,History,04/09/2023 Sun,150,0,10,0,106,0,34,0,70.666667,82,0,2,0,80,24,0,63,0,62,0,0,0,0,2,0,0,0,0,0,106,0,13496.4,127.324528,0,0,0,0,0,0,0,0,0,0,13496.4,127.324528,89.976,184 / 23,ROOM,Suites,***,***,,,106,,70.666667,82,2,80,24,63,62,0,0,2,0,0,106,13496.4,127.324528,0,0,0,0,0,0,13496.4,127.324528,89.976,184 / 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-10 00:00:00,History,04/10/2023 Mon,150,0,0,0,122,0,28,0,81.333333,84,0,1,0,83,38,0,68,0,67,0,0,0,0,4,0,0,0,0,0,122,0,14625.9,119.884426,0,0,0,0,0,0,0,0,0,0,14625.9,119.884426,97.506,184 / 16,ROOM,Suites,***,***,,,122,,81.333333,84,1,83,38,68,67,0,0,4,0,0,122,14625.9,119.884426,0,0,0,0,0,0,14625.9,119.884426,97.506,184 / 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-11 00:00:00,History,04/11/2023 Tue,150,0,1,0,148,0,1,0,98.666667,104,0,25,0,102,44,0,78,0,76,0,0,0,0,1,0,1,0,0,0,123,0,17489.26,142.189106,25,0,2935,117.4,0,0,0,0,0,0,20424.26,138.001757,136.161733,189 / 12,ROOM,Suites,***,***,,,148,,98.666667,104,25,102,44,78,76,0,0,1,1,0,123,17489.26,142.189106,25,2935,117.4,0,0,0,20424.26,138.001757,136.161733,189 / 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-12 00:00:00,History,04/12/2023 Wed,150,0,0,0,128,0,22,0,85.333333,74,0,1,0,74,54,0,94,0,92,0,0,0,0,1,0,0,0,0,0,127,0,16508.04,129.984567,1,0,114,114,0,0,0,0,0,0,16622.04,129.859688,110.8136,173 / 20,ROOM,Suites,***,***,,,128,,85.333333,74,1,74,54,94,92,0,0,1,0,0,127,16508.04,129.984567,1,114,114,0,0,0,16622.04,129.859688,110.8136,173 / 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-13 00:00:00,History,04/13/2023 Thu,150,0,2,0,134,0,14,0,89.333333,107,0,2,0,105,27,0,101,0,101,0,0,0,0,2,0,0,0,0,0,114,0,21775.58,191.01386,20,0,2540,127,0,0,0,0,0,0,24315.58,181.459552,162.103867,207 / 20,ROOM,Suites,***,***,,,134,,89.333333,107,2,105,27,101,101,0,0,2,0,0,114,21775.58,191.01386,20,2540,127,0,0,0,24315.58,181.459552,162.103867,207 / 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-14 00:00:00,History,04/14/2023 Fri,150,0,1,0,137,0,12,0,91.333333,92,0,16,0,91,45,0,89,0,87,0,0,0,0,2,0,1,0,0,0,98,0,42747.31,436.197041,39,0,8561,219.512821,0,0,0,0,0,0,51308.31,374.513212,342.0554,213 / 2,ROOM,Suites,***,***,,,137,,91.333333,92,16,91,45,89,87,0,0,2,1,0,98,42747.31,436.197041,39,8561,219.512821,0,0,0,51308.31,374.513212,342.0554,213 / 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-15 00:00:00,History,04/15/2023 Sat,150,0,0,0,137,0,13,0,91.333333,29,0,1,0,29,108,0,29,0,29,0,0,0,0,1,0,0,0,0,0,110,0,41530.57,377.550636,27,0,5923,219.37037,0,0,0,0,0,0,47453.57,346.376423,316.357133,215 / 10,ROOM,Suites,***,***,,,137,,91.333333,29,1,29,108,29,29,0,0,1,0,0,110,41530.57,377.550636,27,5923,219.37037,0,0,0,47453.57,346.376423,316.357133,215 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-16 00:00:00,History,04/16/2023 Sun,150,0,28,0,94,0,28,0,62.666667,80,0,2,0,79,14,0,123,0,122,0,0,0,0,2,0,0,0,0,0,93,0,12318.94,132.46172,1,0,149,149,0,0,0,0,0,0,12467.94,132.63766,83.1196,155 / 13,ROOM,Suites,***,***,,,94,,62.666667,80,2,79,14,123,122,0,0,2,0,0,93,12318.94,132.46172,1,149,149,0,0,0,12467.94,132.63766,83.1196,155 / 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-17 00:00:00,History,04/17/2023 Mon,150,0,8,0,109,0,33,0,72.666667,81,0,24,0,80,28,0,66,0,66,0,0,0,0,2,0,1,0,0,0,86,0,10717.43,124.621279,23,0,2737,119,0,0,0,0,0,0,13454.43,123.435138,89.6962,146 / 5,ROOM,Suites,***,***,,,109,,72.666667,81,24,80,28,66,66,0,0,2,1,0,86,10717.43,124.621279,23,2737,119,0,0,0,13454.43,123.435138,89.6962,146 / 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-18 00:00:00,History,04/18/2023 Tue,150,0,0,0,134,0,16,0,89.333333,82,0,12,0,80,52,0,57,0,55,0,0,0,0,5,0,0,0,0,0,102,0,14228.19,139.492059,32,0,3808,119,0,0,0,0,0,0,18036.19,134.598433,120.241267,176 / 8,ROOM,Suites,***,***,,,134,,89.333333,82,12,80,52,57,55,0,0,5,0,0,102,14228.19,139.492059,32,3808,119,0,0,0,18036.19,134.598433,120.241267,176 / 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-19 00:00:00,History,04/19/2023 Wed,150,0,5,0,110,0,35,0,73.333333,44,0,10,0,44,66,0,68,0,66,1,0,0,0,1,0,0,0,0,0,73,0,9988.65,136.830822,37,0,4403,119,0,0,0,0,0,0,14391.65,130.833182,95.944333,128 / 0,ROOM,Suites,***,***,,,110,,73.333333,44,10,44,66,68,66,1,0,1,0,0,73,9988.65,136.830822,37,4403,119,0,0,0,14391.65,130.833182,95.944333,128 / 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-20 00:00:00,History,04/20/2023 Thu,150,0,3,0,100,0,47,0,66.666667,67,0,2,0,67,33,0,77,0,77,1,0,0,0,2,0,0,0,0,0,95,0,15031.77,158.229158,5,0,595,119,0,0,0,0,0,0,15626.77,156.2677,104.178467,145 / 4,ROOM,Suites,***,***,,,100,,66.666667,67,2,67,33,77,77,1,0,2,0,0,95,15031.77,158.229158,5,595,119,0,0,0,15626.77,156.2677,104.178467,145 / 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-21 00:00:00,History,04/21/2023 Fri,150,0,1,0,91,0,58,0,60.666667,64,0,3,0,63,27,0,73,0,73,1,0,0,0,8,0,0,0,0,0,71,0,30301.02,426.77493,20,0,3730,186.5,0,0,0,0,0,0,34031.02,373.967253,226.873467,156 / 5,ROOM,Suites,***,***,,,91,,60.666667,64,3,63,27,73,73,1,0,8,0,0,71,30301.02,426.77493,20,3730,186.5,0,0,0,34031.02,373.967253,226.873467,156 / 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-22 00:00:00,History,04/22/2023 Sat,150,0,1,0,80,0,69,0,53.333333,19,0,1,0,18,61,0,30,0,30,1,0,0,0,1,0,0,0,0,0,66,0,27677.24,419.352121,14,0,2526,180.428571,0,0,0,0,0,0,30203.24,377.5405,201.354933,134 / 2,ROOM,Suites,***,***,,,80,,53.333333,19,1,18,61,30,30,1,0,1,0,0,66,27677.24,419.352121,14,2526,180.428571,0,0,0,30203.24,377.5405,201.354933,134 / 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-23 00:00:00,History,04/23/2023 Sun,150,0,1,0,90,0,59,0,60,85,0,3,0,84,5,0,75,0,73,1,0,0,0,1,0,0,0,0,0,90,0,12307.44,136.749333,0,0,0,0,0,0,0,0,0,0,12307.44,136.749333,82.0496,156 / 6,ROOM,Suites,***,***,,,90,,60,85,3,84,5,75,73,1,0,1,0,0,90,12307.44,136.749333,0,0,0,0,0,0,12307.44,136.749333,82.0496,156 / 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
